Produce_Type,Harvest_Date,Measurement_Date,Initial_Brix_Level,Initial_Weight,Initial_Damage_Score,Pretreatment,Avg_Temp_C,Avg_Humidity_%,Packaging,Age_at_Measurement,Remaining_Shelf_Life_Days
tomato,2025-08-27,2025-11-03,4.5,147.7,0.11,washed,12.876225970162803,36.8205122738775,loose,68,0.0
potato,2025-10-06,2025-11-02,4.4,361.5,0.57,none,15.01277920826234,71.34847386801786,perforated_bag,27,21.000728678902345
grape,2025-10-10,2025-11-02,16.2,289.0,2.29,washed,5.105608262202469,58.47587609703196,carton,23,0.0
orange,2025-08-31,2025-11-03,11.3,243.6,0.95,none,5.776964010724427,73.15448557814055,sealed_punnet,64,0.0
strawberry,2025-10-19,2025-11-02,7.6,276.1,0.16,pre-cooled,7.232970608632502,80.2728653969195,carton,14,0.0
banana,2025-11-01,2025-11-04,20.5,136.5,4.02,washed,,79.75751991831532,,3,4.394001537505881
tomato,2025-09-04,2025-11-02,4.9,119.7,0.61,pre-cooled,5.584080453571104,,perforated_bag,59,0.0
strawberry,2025-10-03,2025-11-02,7.7,167.8,5.0,none,7.644200774121511,61.60510633471341,carton,30,0.0
orange,2025-08-27,2025-11-04,12.2,162.2,0.68,pre-cooled,9.559383111990973,56.085761081500934,carton,69,0.0
potato,2025-10-23,2025-11-02,7.8,281.9,0.07,,8.189318811102586,65.68998288367558,carton,10,43.4055958137471
strawberry,2025-09-27,2025-11-03,9.6,248.2,1.29,none,12.263237957625433,70.7367318513174,sealed_punnet,37,0.0
apple,2025-09-08,2025-11-02,13.1,154.9,1.8,waxed,11.253121624258371,66.561461225751,perforated_bag,55,0.0
banana,2025-10-09,2025-11-03,19.2,176.5,5.0,,5.112118099676666,80.40161892479925,loose,25,0.0
strawberry,2025-10-06,2025-11-03,8.2,274.3,1.38,pre-cooled,9.320131272861952,52.253789687938,sealed_punnet,28,0.0
apple,2025-10-25,2025-11-02,12.4,238.2,3.76,none,20.196519416845483,72.94462860963618,loose,8,23.928666986100446
tomato,2025-08-20,2025-11-02,4.1,114.3,2.49,washed,6.971790364747742,77.77552513493532,perforated_bag,74,0.0
orange,2025-10-28,2025-11-04,12.2,193.2,1.39,pre-cooled,4.1377987601923305,68.05218525264834,sealed_punnet,7,26.776924892477556
orange,2025-10-25,2025-11-02,11.9,120.0,2.55,waxed,12.226899645121673,84.66807104250545,perforated_bag,8,23.073491979407585
apple,2025-09-30,2025-11-03,10.5,185.1,3.18,none,8.2634270993121,74.58756293360946,carton,34,3.9347526524289123
tomato,2025-11-02,2025-08-24,3.1,119.5,2.87,,,68.43375929200295,carton,70,0.0
apple,2025-10-24,2025-11-04,11.6,236.9,1.2,waxed,11.491731470301831,95.0,perforated_bag,11,29.050278139848693
tomato,2025-10-04,2025-11-02,6.7,134.5,0.62,,2.8358866351022405,74.32769692803869,sealed_punnet,29,0.0
strawberry,2025-10-27,2025-11-03,,324.7,1.31,pre-cooled,3.6509572629025913,,perforated_bag,7,5.297389881142431
tomato,2025-09-26,2025-11-03,3.2,156.0,0.58,none,4.122251946946194,65.21745061939522,carton,38,0.0
orange,2025-10-09,2025-11-04,9.5,179.0,,waxed,7.486496007420543,,carton,26,2.720404415707313
apple,2025-08-31,2025-11-04,10.9,157.6,1.71,none,2.8494403879149917,65.27701755265166,sealed_punnet,65,0.0
strawberry,2025-10-04,2025-11-02,8.2,155.9,1.21,none,,48.26666146849379,loose,29,0.0
strawberry,2025-09-08,2025-11-04,8.4,355.1,,none,7.423900456700377,82.0759182197462,sealed_punnet,57,0.0
grape,2025-09-21,2025-11-03,23.2,456.5,1.08,washed,,75.89784964419131,perforated_bag,43,0.0
potato,2025-08-29,2025-11-03,5.0,332.9,0.89,washed,-2.3985599792848147,79.11952999061809,perforated_bag,66,0.0
tomato,2025-10-07,2025-11-02,3.4,176.6,4.25,pre-cooled,8.588114765970051,54.36988188499185,carton,26,0.0
banana,2025-10-18,2025-11-02,19.1,174.8,0.63,washed,2.42437588742625,94.43528881122197,carton,15,0.0
banana,2025-09-01,2025-11-02,22.3,124.8,2.26,,4.989401384878399,90.22711299296171,carton,62,0.0
apple,2025-10-10,2025-11-03,15.1,219.0,2.28,pre-cooled,,94.723444790822,perforated_bag,24,16.67154536136991
potato,2025-08-28,2025-11-04,4.8,169.6,2.21,pre-cooled,8.537553553407012,71.57853436876539,carton,68,0.0
apple,2025-08-28,2025-11-02,,145.2,1.46,washed,13.131179875355922,75.78007418478857,perforated_bag,66,0.0
tomato,2025-09-01,2025-11-02,3.8,86.0,2.75,,19.036498532672944,64.89372017541305,loose,62,0.0
strawberry,2025-08-26,2025-11-04,8.1,369.1,1.13,waxed,0.4999704501122544,86.79988529689787,perforated_bag,70,0.0
tomato,2025-09-21,2025-11-02,3.0,81.1,0.53,pre-cooled,4.916850387838894,89.34408045034829,,42,0.0
apple,2025-09-10,2025-11-04,11.0,172.9,1.68,pre-cooled,0.6175694664041984,80.39764512828341,sealed_punnet,55,0.0
potato,2025-09-24,2025-11-04,4.4,267.0,1.62,pre-cooled,9.486023112813632,82.82372770292163,sealed_punnet,41,10.320791684125513
potato,2025-09-23,2025-11-03,6.3,250.4,2.67,none,6.273504439999318,82.88204140797187,carton,41,7.596232897979039
tomato,2025-08-30,2025-11-02,4.2,115.7,,pre-cooled,7.783578380903884,65.80373061562443,sealed_punnet,64,0.0
potato,2025-11-03,2025-11-02,5.9,161.1,,waxed,5.53289855392117,61.520042156328316,perforated_bag,0,51.23268309072207
potato,2025-09-15,2025-11-04,5.0,245.0,1.93,washed,13.70017304602869,56.4686326492638,loose,50,0.0
tomato,2025-09-10,2025-11-04,6.3,194.6,0.04,washed,11.523294544016586,80.76386177828603,loose,55,0.0
tomato,2025-09-10,2025-11-02,3.4,93.5,2.77,washed,10.19861576561512,67.47037612724633,loose,53,0.0
tomato,2025-08-24,2025-11-03,5.0,85.2,0.43,pre-cooled,6.942576667186133,67.257961816471,perforated_bag,71,0.0
orange,2025-09-28,2025-11-03,9.9,187.2,1.98,pre-cooled,10.230015284135348,100.0,perforated_bag,36,0.0
orange,2025-11-03,2025-10-05,10.2,140.8,5.0,pre-cooled,8.82182274814521,67.24393395397608,perforated_bag,29,2.6206064283937063
grape,2025-09-09,2025-11-03,21.8,335.3,,washed,7.4634984838193725,61.35351326130619,perforated_bag,55,0.0
orange,2025-08-21,2025-11-02,,132.3,3.17,washed,5.780678093973185,67.09229080914646,sealed_punnet,73,0.0
banana,2025-09-30,2025-11-03,20.1,,0.07,pre-cooled,2.2499234016478526,78.71719238690044,sealed_punnet,34,0.0
potato,2025-10-23,2025-11-04,4.5,386.6,2.7,waxed,,59.52088243951963,,12,35.999380867948084
apple,2025-08-30,2025-11-04,13.5,228.3,1.69,washed,11.78653189206527,75.46528465933709,carton,66,0.0
banana,2025-10-05,2025-11-03,21.0,164.2,0.55,pre-cooled,8.565604523244787,77.64290210153251,carton,29,0.0
orange,2025-10-30,2025-11-03,12.0,126.6,0.65,pre-cooled,9.7508607388237,65.66246263859902,carton,4,27.524168306136925
grape,2025-10-23,2025-11-04,,426.9,0.41,pre-cooled,4.924789273461334,62.75000111339949,carton,12,5.536579163568237
banana,2025-10-03,2025-11-04,20.1,111.8,1.09,none,11.787579387285897,31.707697271482928,loose,32,0.0
strawberry,2025-10-21,2025-11-04,9.3,273.4,2.45,waxed,12.756905845023141,,perforated_bag,14,0.0
apple,2025-10-15,2025-11-02,15.6,213.9,1.1,washed,7.263959382697308,83.07773431291784,sealed_punnet,18,21.07091598455137
potato,2025-10-04,2025-11-02,6.4,368.1,1.24,,1.2810322287814166,64.4745280812989,sealed_punnet,29,21.891832714439104
strawberry,2025-09-10,2025-11-04,6.8,384.1,1.34,pre-cooled,2.2692447665783955,84.58531961298615,carton,55,0.0
potato,2025-09-26,2025-11-03,5.5,318.1,1.62,none,7.961747211266176,55.301160271727525,loose,38,11.601936450457115
tomato,2025-10-19,2025-11-04,3.9,142.3,2.42,none,4.517083196140935,68.33371384321354,sealed_punnet,16,0.0
strawberry,2025-09-14,2025-11-02,7.1,159.8,,washed,1.1812296347941258,78.94957970323307,carton,49,0.0
orange,2025-10-17,2025-11-02,11.8,170.4,1.01,washed,10.833580084213654,77.70879214790814,loose,16,10.681893299797684
tomato,2025-08-21,2025-11-04,5.0,82.9,,pre-cooled,1.6581214228448395,61.07274334717936,loose,75,0.0
tomato,2025-09-29,2025-11-04,6.3,196.1,0.36,none,3.376080557555837,59.88945966087134,sealed_punnet,36,0.0
orange,2025-09-06,2025-11-03,9.9,213.0,2.38,washed,13.471963795681035,66.85237757276576,loose,58,0.0
banana,2025-11-03,2025-11-03,19.1,167.4,0.08,pre-cooled,4.547948629133746,82.49745475438348,sealed_punnet,0,13.354039315726906
banana,2025-09-25,2025-11-04,22.3,159.3,0.82,,1.81563071878531,67.28865032766372,perforated_bag,40,0.0
strawberry,2025-10-24,2025-11-02,6.7,181.4,2.23,none,11.60908559977381,70.00127569589148,perforated_bag,9,0.0
potato,2025-09-03,2025-11-02,,227.9,2.93,waxed,10.958246867450638,91.07854336808246,sealed_punnet,60,0.0
potato,2025-10-14,2025-11-02,,383.2,3.13,waxed,11.402877577842588,68.42964762982676,perforated_bag,19,29.327501658496196
grape,2025-09-04,2025-11-04,23.9,219.1,0.59,waxed,3.065734871254651,65.94179820577158,sealed_punnet,61,0.0
potato,2025-09-14,2025-11-02,4.7,255.3,,none,6.9996916049700655,67.85934882017821,sealed_punnet,49,2.267870281207781
banana,2025-08-17,2025-11-03,,152.6,3.91,none,-0.18653431424444022,59.53722081018587,carton,78,0.0
tomato,2025-10-27,2025-11-04,4.0,28.42,1.4,washed,8.973900308547082,70.95842840520697,perforated_bag,8,5.784415531263799
banana,2025-09-19,2025-11-02,23.6,160.6,5.0,waxed,1.077975565523638,64.44613778658267,perforated_bag,44,0.0
strawberry,2025-09-20,2025-11-02,9.9,283.4,4.09,pre-cooled,4.760439603642368,82.29819362267631,perforated_bag,43,0.0
orange,2025-09-03,2025-11-02,10.8,,4.76,waxed,10.816519392197103,82.96965795509925,perforated_bag,60,0.0
grape,2025-09-11,2025-11-04,19.8,337.8,1.36,pre-cooled,8.139798752389627,,carton,54,0.0
orange,2025-08-25,2025-11-04,,231.7,0.52,none,20.691985970247053,69.85107454931651,loose,71,0.0
orange,2025-10-25,2025-11-03,11.4,185.5,3.17,waxed,2.9433901287997943,71.13887223913858,sealed_punnet,9,23.66301391615573
orange,2025-09-26,2025-11-04,9.6,230.4,2.5,waxed,6.655834459604117,55.905289820987434,carton,39,0.0
potato,2025-08-24,2025-11-04,5.1,202.5,0.11,none,10.40086861055622,61.73172023322095,loose,72,0.0
grape,2025-09-21,2025-11-03,23.5,169.2,3.06,waxed,3.5329935859418278,55.2698500001516,carton,43,0.0
strawberry,2025-10-20,2025-11-04,9.2,329.7,1.73,pre-cooled,12.757036980360093,54.61565180856619,loose,15,0.0
banana,2025-09-11,2025-11-02,21.4,172.6,0.98,washed,4.386075365756662,64.84040336805433,carton,52,0.0
orange,2025-10-27,2025-11-03,9.5,147.6,1.3,waxed,5.189197186908332,100.0,sealed_punnet,7,23.725775115526716
strawberry,2025-08-27,2025-11-03,6.4,261.3,0.71,waxed,4.500481207795008,81.46449368542261,sealed_punnet,68,0.0
potato,2025-09-11,2025-11-02,5.0,232.7,1.52,pre-cooled,2.944476683703556,84.68025075870584,perforated_bag,52,0.0
strawberry,2025-09-24,2025-11-02,6.7,237.4,2.84,none,1.7511934219781775,68.57223617100053,sealed_punnet,39,0.0
apple,2025-10-16,2025-11-03,13.3,183.9,4.99,pre-cooled,8.980070703920617,92.56343733034797,loose,18,19.837224327570972
apple,2025-09-05,2025-11-04,12.9,227.9,1.59,washed,5.399614061313492,57.13496877523879,,60,0.0
orange,2025-09-17,2025-11-04,,124.3,1.15,none,-7.683146587777724,81.2963760302559,carton,48,0.0
orange,2025-09-27,2025-11-02,10.5,163.3,1.97,washed,2.639500417380857,70.14321255424953,perforated_bag,36,0.0
grape,2025-08-27,2025-11-04,22.1,460.1,1.83,washed,9.765316249749251,81.86709204348566,sealed_punnet,69,0.0
strawberry,2025-09-25,2025-11-04,30.0,157.1,0.68,none,5.1760687519011075,70.42781460680804,sealed_punnet,40,0.0
grape,2025-08-25,2025-11-03,18.8,462.8,2.2,waxed,-1.1022906142446773,100.0,sealed_punnet,70,0.0
apple,2025-08-23,2025-11-04,14.6,200.5,1.19,washed,6.941169548690722,60.15395208080347,sealed_punnet,73,0.0
apple,2025-10-02,2025-11-03,14.7,188.5,,waxed,-1.0,63.21330763702478,carton,32,10.087386853091393
grape,2025-09-18,2025-11-04,21.4,413.3,3.08,pre-cooled,9.646262876657127,65.58596830997975,perforated_bag,47,0.0
grape,2025-09-01,2025-11-03,19.5,169.9,1.48,,7.697267137256857,52.155875355023305,loose,63,0.0
apple,2025-09-13,2025-11-03,14.3,174.2,0.61,pre-cooled,0.3652589144453984,71.19544095833649,perforated_bag,51,0.0
apple,2025-10-22,2025-11-03,12.3,39.32,0.5,,9.18077224683368,78.12387243411645,perforated_bag,12,28.126331674052917
potato,2025-08-19,2025-11-03,5.0,278.0,0.51,none,3.0364022695806843,82.23037939579864,carton,76,0.0
apple,2025-11-01,2025-11-02,,133.3,0.6,none,3.259724621048092,74.82253307581607,sealed_punnet,1,40.517439697221384
strawberry,2025-11-02,2025-11-04,6.3,355.3,3.62,washed,6.9742747186006255,80.80567687035615,carton,2,2.72941682238931
orange,2025-09-11,2025-11-02,10.8,125.1,2.85,washed,15.05255501179507,44.17898231848333,loose,52,0.0
orange,2025-11-01,2025-11-03,11.5,44.28,1.54,none,11.13812521273169,68.57678073021239,loose,2,26.665538107211347
apple,2025-10-04,2025-11-02,10.3,223.4,0.24,waxed,3.5958261892122323,65.52796988840495,sealed_punnet,29,13.858649149066226
tomato,2025-08-24,2025-11-02,4.9,127.0,0.12,pre-cooled,16.48397426338044,84.77847564654331,perforated_bag,70,0.0
strawberry,2025-09-28,2025-11-03,7.0,,5.0,washed,8.167003893471394,63.56010998676628,perforated_bag,36,0.0
apple,2025-09-11,2025-11-03,13.8,184.3,1.15,washed,4.2348236108008965,43.15729644523605,loose,53,0.0
orange,2025-10-11,2025-11-04,12.7,213.3,0.66,washed,5.218741400542384,78.70598413980211,sealed_punnet,24,8.880318893137979
grape,2025-09-23,2025-11-04,17.3,221.8,0.81,pre-cooled,3.6783706828859932,100.0,perforated_bag,42,0.0
potato,2025-09-15,2025-11-02,6.3,376.6,2.24,washed,3.6628427870799287,71.55184869332705,carton,48,3.756977365756068
apple,2025-09-22,2025-11-04,15.8,153.9,1.44,washed,17.82205870267635,71.10812109256644,loose,43,0.0
strawberry,2025-09-02,2025-11-04,30.0,365.1,4.17,pre-cooled,12.453954514835536,39.384512235362315,loose,63,0.0
tomato,2025-09-03,2025-11-04,5.2,105.7,0.08,waxed,4.413250862686034,82.77596061792272,carton,62,0.0
strawberry,2025-08-19,2025-11-04,6.0,297.0,3.32,washed,10.641683743765245,73.52639865243712,perforated_bag,77,0.0
tomato,2025-09-11,2025-11-02,6.3,85.0,0.02,washed,14.17773159496182,61.997823270925764,loose,52,0.0
potato,2025-09-29,2025-11-03,4.4,380.6,5.0,none,7.070910292185802,74.49600049400978,sealed_punnet,35,11.934953335034402
strawberry,2025-10-06,2025-11-03,9.7,357.2,0.54,washed,0.7293939017954942,62.310174227455015,sealed_punnet,28,0.0
potato,2025-10-23,2025-11-03,7.9,368.5,0.92,pre-cooled,7.270412050469773,95.0,perforated_bag,11,41.648745956505444
tomato,2025-08-24,2025-11-02,6.6,,,washed,16.395070772785036,48.642110448138865,loose,70,0.0
orange,2025-10-12,2025-11-02,11.1,182.1,2.57,none,6.300869167521117,72.8604457081245,carton,21,7.0546172021073925
banana,2025-09-21,2025-11-04,20.5,110.9,3.33,none,4.109854705954977,67.65838133878987,carton,44,0.0
potato,2025-09-19,2025-11-04,7.1,212.5,0.46,waxed,-0.39982176011204995,66.14077157123889,loose,46,3.840265746207753
tomato,2025-09-09,2025-11-02,,142.5,5.0,pre-cooled,,69.91023471609297,perforated_bag,54,0.0
strawberry,2025-08-31,2025-11-03,8.5,370.0,3.51,waxed,3.5754340252555856,100.0,carton,64,0.0
potto,2025-09-17,2025-11-03,6.0,266.2,1.4,pre-cooled,11.02812826021591,72.47375131197363,perforated_bag,47,4.263396111390322
strawberry,2025-09-24,2025-11-02,8.8,,1.03,none,15.410390978701134,67.85248751272341,loose,39,0.0
potato,2025-08-27,2025-11-02,6.6,286.3,5.0,none,12.538497245533092,,loose,67,0.0
tomato,2025-09-26,2025-11-04,,196.8,,none,4.94857823121378,70.05171394580375,perforated_bag,39,0.0
apple,2025-09-16,2025-11-04,11.4,157.5,0.84,waxed,7.868832091239924,81.41541644936012,carton,49,0.0
grape,2025-09-20,2025-11-04,18.6,423.3,0.87,pre-cooled,12.501737919398984,63.89336730048756,carton,45,0.0
grape,2025-10-26,2025-11-02,23.3,277.1,1.41,none,,95.0,carton,7,5.064609156056107
grape,2025-10-07,2025-11-02,23.8,243.3,,waxed,10.34215303335398,79.30567384061908,perforated_bag,26,0.0
apple,2025-09-27,2025-11-02,11.5,168.1,1.43,none,,88.38592138295607,sealed_punnet,36,3.699916216356928
potato,2025-09-23,2025-11-02,5.4,349.6,2.85,,3.6152019057299123,56.09893527346246,perforated_bag,40,9.490761470801182
potato,2025-09-30,2025-11-04,5.4,212.9,0.72,pre-cooled,3.9162991639086897,74.81643775806263,sealed_punnet,35,18.399971221027997
potato,2025-10-31,2025-11-02,5.0,152.3,,waxed,15.963555088668324,42.28011331778336,loose,2,43.867774941397755
grape,2025-10-21,2025-11-03,16.3,163.0,2.59,washed,2.98647350720153,58.503870705663864,carton,13,0.0
apple,2025-09-02,2025-11-03,14.3,,0.1,none,12.542482341965904,83.06676402164362,,62,0.0
orange,2025-09-13,2025-11-03,12.0,211.8,5.0,pre-cooled,16.02466695366163,,loose,51,0.0
potto,2025-09-30,2025-11-03,4.3,373.0,1.57,waxed,14.292774870094606,77.6133996644549,loose,34,12.843329232167601
grape,2025-10-08,2025-11-04,16.8,364.4,2.84,none,4.3893825600487215,95.0,perforated_bag,27,0.0
apple,2025-10-02,2025-11-02,11.0,176.6,4.23,none,6.355673529286064,82.38193959258271,perforated_bag,31,3.3547542399513444
banana,2025-09-05,2025-11-03,18.3,153.5,1.14,waxed,5.519776540175085,72.56589697432092,carton,59,0.0
potato,2025-09-18,2025-11-03,5.4,376.5,1.01,washed,4.56898284503593,83.10861716033224,sealed_punnet,46,6.9433234425300405
tomato,2025-09-27,2025-11-03,3.3,187.5,0.97,waxed,0.040214920715500924,78.32376833519609,perforated_bag,37,0.0
grape,2025-09-15,2025-11-03,21.6,341.7,0.61,none,15.060412504018913,,loose,49,0.0
tomato,2025-10-19,2025-11-04,4.6,104.9,2.87,waxed,7.965700885541282,77.5699744558583,carton,16,0.0
potato,2025-08-27,2025-11-03,5.4,247.4,2.68,waxed,9.052763406801539,64.94981355349815,loose,68,0.0
grape,2025-10-24,2025-11-04,20.9,466.0,1.54,pre-cooled,,48.86080993612805,loose,11,4.368299133909948
orange,2025-09-23,2025-11-04,12.0,148.6,0.27,none,13.961174626099051,86.89418284463477,sealed_punnet,42,0.0
orange,2025-10-14,2025-11-03,12.8,147.9,3.07,waxed,11.300734898213474,74.39068364852716,,20,9.088287743321652
banana,2025-10-04,2025-11-02,20.7,140.8,0.03,none,,88.52362545926151,sealed_punnet,29,0.0
potato,2025-10-24,2025-11-04,4.4,377.2,0.45,washed,5.375419902887683,69.80444023511029,,11,38.27813460339389
grape,2025-11-02,2025-11-02,17.5,249.8,3.01,none,9.449680249519588,,loose,0,8.741995897828621
strawberry,2025-10-11,2025-11-03,6.3,388.8,0.51,washed,20.302134267466737,69.77360079298208,loose,23,0.0
apple,2025-08-19,2025-11-03,11.1,177.6,,waxed,6.584865277236562,67.04344866174192,carton,76,0.0
orange,2025-09-22,2025-11-03,10.1,242.2,0.46,washed,12.993872157691035,76.43100207643099,perforated_bag,42,0.0
strawberry,2025-11-03,2025-11-04,8.0,372.0,2.58,pre-cooled,8.875826907827587,46.784562121922065,loose,1,2.851494093572965
banana,2025-09-28,2025-11-04,23.1,158.1,4.05,washed,1.9807432389419821,61.025153871695565,sealed_punnet,37,0.0
orange,2025-09-03,2025-11-03,9.7,221.0,0.76,waxed,4.302188607322783,68.41617282059555,sealed_punnet,61,0.0
strawberry,2025-09-19,2025-11-02,6.1,256.6,3.33,,19.149638951660446,58.270973154570065,loose,44,0.0
apple,2025-10-22,2025-11-03,,212.3,0.66,washed,15.785884105510114,66.85369490445689,loose,12,25.5394822957294
banana,2025-10-17,2025-11-02,20.1,133.4,5.0,pre-cooled,8.334985404438171,74.35557052611766,loose,16,0.0
apple,2025-09-30,2025-11-04,14.8,146.3,,waxed,5.21051618382052,85.48203967675276,carton,35,8.78810795648157
strawberry,2025-09-09,2025-11-02,7.4,354.8,0.74,,6.01473167569066,86.49028062998293,sealed_punnet,54,0.0
apple,2025-10-02,2025-11-03,12.1,228.8,1.69,none,2.952013706495913,71.76091146784078,carton,32,7.632623670635652
tomato,2025-10-05,2025-11-02,6.0,94.2,3.46,waxed,5.976388238430542,92.14554147761008,perforated_bag,28,0.0
potato,2025-08-25,2025-11-02,6.0,163.8,0.27,washed,11.092871339128024,71.79216138148001,sealed_punnet,69,0.0
orange,2025-09-25,2025-11-04,9.5,167.2,1.59,pre-cooled,3.7976698462837764,,sealed_punnet,40,0.0
strawberry,2025-09-19,2025-11-02,9.4,267.8,5.0,washed,8.030240721576533,71.47546268362258,perforated_bag,44,0.0
banana,2025-08-28,2025-11-03,20.2,146.3,0.7,,10.036246908014602,60.01755425776548,loose,67,0.0
apple,2025-09-09,2025-11-04,15.7,164.1,3.64,waxed,1.1109722641699236,79.10383276786892,perforated_bag,56,0.0
grape,2025-08-19,2025-11-04,18.9,,,waxed,12.068078071904136,61.942073676511214,loose,77,0.0
apple,2025-08-24,2025-11-04,10.6,241.2,0.05,waxed,,93.64048530411759,carton,72,0.0
apple,2025-09-17,2025-11-03,11.7,226.5,1.59,washed,,71.82650832603473,perforated_bag,47,0.0
orange,2025-09-16,2025-11-04,11.1,196.5,0.63,none,9.144350277807465,71.15818334293024,carton,49,0.0
banana,2025-10-02,2025-11-03,19.4,90.5,,none,10.839107212391612,86.46366075296831,sealed_punnet,32,0.0
apple,2025-08-28,2025-11-04,13.7,155.7,,pre-cooled,7.332741037206427,74.88002655372276,perforated_bag,68,0.0
grape,2025-11-01,2025-11-02,19.4,352.0,0.88,pre-cooled,8.741821407968974,100.0,sealed_punnet,1,15.0960336363925
grape,2025-10-18,2025-11-02,23.2,219.3,1.06,none,16.80466089304131,44.06641591824683,loose,15,0.0
potato,2025-09-12,2025-11-04,6.7,164.5,0.31,pre-cooled,7.228184041600931,63.633591165327616,perforated_bag,53,0.9571258854633563
apple,2025-10-17,2025-11-04,13.3,230.9,0.62,pre-cooled,8.919643923318382,79.40453909426019,loose,18,20.60699655160475
grape,2025-10-07,2025-11-02,20.6,380.1,1.1,washed,19.566634772303573,72.40874789367149,perforated_bag,26,0.0
tomato,2025-10-15,2025-11-02,6.8,168.4,,waxed,,71.44065082913029,sealed_punnet,18,0.0
strawberry,2025-09-18,2025-11-02,6.9,159.4,0.48,waxed,7.920374626924865,61.30014227533097,carton,45,0.0
tomato,2025-09-12,2025-11-03,6.5,123.1,3.59,waxed,8.39570001933177,74.32553441444819,carton,52,0.0
banana,2025-09-20,2025-11-03,19.9,94.7,0.43,washed,16.322859862486343,63.168348016751935,loose,44,0.0
banana,2025-09-11,2025-11-03,23.8,112.8,1.6,washed,13.63585276438895,84.44652767662029,loose,53,0.0
apple,2025-08-22,2025-11-03,10.3,237.9,1.61,pre-cooled,10.224968750115533,75.70124932464844,perforated_bag,73,0.0
orange,2025-10-23,2025-11-03,12.2,242.9,0.77,pre-cooled,1.7997862967947835,90.92024898576084,sealed_punnet,11,23.76992997274059
apple,2025-09-03,2025-11-03,14.3,167.9,1.7,washed,,79.72748973475696,sealed_punnet,61,0.0
orange,2025-10-02,2025-11-04,13.0,165.0,2.27,pre-cooled,4.6419295544714,86.07721095982448,sealed_punnet,33,1.5773956574144985
tomato,2025-10-27,2025-11-02,5.1,112.1,0.89,none,,61.416191569294874,loose,6,5.4709828174292765
banana,2025-09-23,2025-11-03,22.9,179.7,0.42,,4.052561445723278,,sealed_punnet,41,0.0
banana,2025-09-08,2025-11-03,20.7,148.2,1.28,washed,6.393357974025441,83.84842582801159,sealed_punnet,56,0.0
apple,2025-10-10,2025-11-02,15.9,155.4,1.88,waxed,10.186276651449024,82.70833961123564,perforated_bag,23,17.113521483170125
orange,2025-09-07,2025-11-04,10.2,205.3,0.36,waxed,4.816673403387693,77.54060419508542,loose,58,0.0
tomato,2025-09-30,2025-11-03,4.8,169.5,0.82,none,14.514510791524966,76.8483976436038,perforated_bag,34,0.0
orange,2025-11-02,2025-11-02,10.8,230.7,0.65,washed,-3.030005527557348,,carton,0,32.58790224750836
apple,2025-09-11,2025-11-03,15.4,209.5,0.98,none,4.515029403275803,66.20361067277064,carton,53,0.0
strawberry,2025-08-27,2025-11-02,7.5,253.9,0.83,none,8.252928586052406,72.24160040103544,perforated_bag,67,0.0
apple,2025-10-20,2025-11-03,11.9,228.5,0.64,washed,6.16240439961577,69.73036479312628,loose,14,26.363875183972713
banana,2025-10-30,2025-11-04,23.1,154.6,,pre-cooled,4.532461660466133,74.70311209714022,perforated_bag,5,6.9188409378872056
tomto,2025-09-21,2025-11-03,30.0,166.9,2.84,waxed,12.19404500227401,61.56286900619447,loose,43,0.0
strawberry,2025-09-14,2025-11-03,8.5,182.1,0.87,none,16.744741114035484,,loose,50,0.0
apple,2025-09-26,2025-11-02,13.6,218.2,0.28,pre-cooled,11.774391105091784,69.54038072885072,perforated_bag,37,4.005336482744299
strawberry,2025-10-16,2025-11-04,8.8,315.3,1.02,none,8.275187513358759,64.88218824277166,perforated_bag,19,0.0
strawberry,2025-09-30,2025-11-02,6.3,250.4,0.08,none,8.007255630802572,58.34874703695955,sealed_punnet,33,0.0
apple,2025-10-01,2025-11-02,13.7,134.4,1.07,none,8.383494872268932,88.92095244121182,carton,32,7.1823632023124695
banana,2025-09-23,2025-11-02,,168.7,1.05,pre-cooled,1.9016577571989455,57.31843088246768,carton,40,0.0
orange,2025-09-03,2025-11-03,12.4,192.0,0.26,pre-cooled,10.467612539447844,44.47985380398203,loose,61,0.0
grape,2025-11-02,2025-11-03,18.2,255.9,2.21,washed,5.614805202247173,71.97730607917474,carton,1,14.386562250361772
tomato,2025-08-25,2025-11-02,3.4,147.6,0.88,washed,6.175497226021586,,perforated_bag,69,0.0
tomato,2025-10-12,2025-11-03,4.0,109.4,2.49,pre-cooled,3.7031665289094366,,sealed_punnet,22,0.0
banana,2025-09-09,2025-11-03,22.4,93.8,,washed,2.2479389917129655,66.6964760582282,loose,55,0.0
grape,2025-09-12,2025-11-04,20.4,190.6,1.05,pre-cooled,5.628322910294397,61.487095973015656,sealed_punnet,53,0.0
orange,2025-10-29,2025-11-04,12.8,242.8,2.7,none,3.748358432990855,43.58585458703454,carton,6,21.964623736431264
apple,2025-10-06,2025-11-02,11.4,126.1,0.78,pre-cooled,12.722779668617378,89.15204526701824,sealed_punnet,27,11.922078933796314
banana,2025-08-29,2025-11-04,23.3,155.7,1.73,washed,5.40281233872039,76.84827033621654,carton,67,0.0
grape,2025-10-20,2025-11-02,17.4,284.1,1.01,none,1.4592099600630037,59.450511765658504,perforated_bag,13,1.811423706474544
orange,2025-08-21,2025-11-04,10.6,,2.45,,,72.7152745619046,sealed_punnet,75,0.0
